Code,BAG LABEL,Processing date,Processed by,Processing Notes
MCSC0785,KONZA-UB-O-T2-S5-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0786,KONZA-UB-O-T1-S1-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0787,KONZA-UB-O-T3-S8-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0788,KONZA-UB-O-T2-S5-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0789,KONZA-UB-O-T1-S1-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0790,KONZA-B-O-T1-S2-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0791,KONZA-B-O-T1-S1-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0792,KONZA-B-O-T3-S8-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0793,KONZA-B-O-T3-S9-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0794,KONZA-B-O-T1-S2-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0795,KONZA-B-O-T2-S5-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0796,KONZA-B-O-T1-S1-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0797,KONZA-B-O-T3-S9-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0798,KONZA-B-O-T2-S5-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0799,KONZA-B-O-T3-S8-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0800,KONZA-UB-G-T1-S2-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0801,KONZA-UB-G-T2-S5-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0802,KONZA-UB-G-T2-S5-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0803,KONZA-UB-G-T3-S9-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0804,KONZA-UB-G-T1-S2-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0805,KONZA-UB-G-T3-S8-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0806,KONZA-UB-G-T3-S9-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0807,KONZA-UB-G-T3-S8-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0808,KONZA-UB-G-T1-S1-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0809,KONZA-UB-G-T1-S1-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0810,KONZA-B-G-T1-S1-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0811,KONZA-B-G-T1-S1-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0812,KONZA-B-G-T3-S9-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0813,KONZA-B-G-T2-S5-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0814,KONZA-B-G-T1-S2-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0815,KONZA-B-G-T3-S8-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0816,KONZA-B-G-T2-S5-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0817,KONZA-B-G-T3-S9-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0818,KONZA-B-G-T3-S8-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0819,KONZA-B-G-T1-S2-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0820,KONZA-UB-O-T3-S8-RootSp1-Sept2023,2023-09-21,NA,
MCSC0821,KONZA-UB-O-T2-S5-RootSp1-Sept2023,2023-09-21,NA,
MCSC0822,KONZA-UB-O-T1-S1-RootSp2-Sept2023,2023-09-21,NA,
MCSC0823,KONZA-UB-O-T3-S8-RootSp2-Sept2023,2023-09-21,NA,
MCSC0824,KONZA-UB-O-T3-S9-RootSp1-Sept2023,2023-09-21,NA,
MCSC0825,KONZA-UB-O-T2-S5-RootSp2-Sept2023,2023-09-21,NA,
MCSC0826,KONZA-UB-O-T1-S1-RootSp1-Sept2023,2023-09-21,NA,
MCSC0827,KONZA-UB-O-T1-S2-RootSp1-Sept2023,2023-09-21,NA,
MCSC0828,KONZA-UB-O-T1-S2-RootSp2-Sept2023,2023-09-21,NA,
MCSC0829,KONZA-UB-O-T3-S9-RootSp2-Sept2023,2023-09-21,NA,
MCSC0830,KONZA-B-O-T3-S9-RootSp1-Sept2023,2023-09-21,NA,
MCSC0831,KONZA-B-O-T3-S8-RootSp2-Sept2023,2023-09-21,NA,
MCSC0832,KONZA-B-O-T1-S1-RootSp1-Sept2023,2023-09-21,NA,
MCSC0833,KONZA-B-O-T2-S5-RootSp1-Sept2023,2023-09-21,NA,
MCSC0834,KONZA-B-O-T1-S1-RootSp2-Sept2023,2023-09-21,NA,
MCSC0835,KONZA-B-O-T3-S9-RootSp2-Sept2023,2023-09-21,NA,
MCSC0836,KONZA-B-O-T1-S2-RootSp2-Sept2023,2023-09-21,PA/NA,
MCSC0837,KONZA-B-O-T3-S8-RootSp1-Sept2023,2023-09-21,PA/NA,
MCSC0838,KONZA-B-O-T1-S2-RootSp1-Sept2023,2023-09-21,PA/NA,
MCSC0839,KONZA-B-O-T2-S5-RootSp2-Sept2023,2023-09-21,PA/NA,
MCSC0840,NIWOT-UB-G-T2-S5-FoliarSp1-Sept2023,2023-09-25,PA/NA,
MCSC0841,NIWOT-UB-G-T1-S2-FoliarSp2-Sept2023,2023-09-25,PA/NA,
MCSC0842,NIWOT-UB-G-T1-S2-FoliarSp1-Sept2023,2023-09-25,PA/NA,
MCSC0843,NIWOT-UB-G-T2-S5-FoliarSp2-Sept2023,2023-09-25,PA/NA,
MCSC0844,NIWOT-UB-G-T1-S1-FoliarSp1-Sept2023,2023-09-25,PA/NA,"24 Slant, but 3 CTAB tubes were obtained due to not having enough plant material"
MCSC0845,NIWOT-UB-G-T3-S8-FoliarSp2-Sept2023,2023-09-25,PA/NA,
MCSC0846,NIWOT-UB-G-T3-S9-FoliarSp1-Sept2023,2023-09-25,PA/NA,
MCSC0847,NIWOT-UB-G-T1-S1-FoliarSp2-Sept2023,2023-09-25,PA/NA,
MCSC0848,NIWOT-UB-G-T3-S9-FoliarSp2-Sept2023,2023-09-25,PA/NA,
MCSC0849,NIWOT-UB-G-T3-S8-FoliarSp1-Sept2023,2023-09-25,PA/NA,
MCSC0850,NIWOT-UB-C-T1-S1-FoliarSp1-Sept2023,2023-09-26,NA,
MCSC0851,NIWOT-UB-C-T3-S9-FoliarSp2-Sept2023,2023-09-26,NA,
MCSC0852,NIWOT-UB-C-T1-S2-FoliarSp2-Sept2023,2023-09-26,NA,
MCSC0853,NIWOT-UB-C-T2-S5-FoliarSp1-Sept2023,2023-09-26,NA,
MCSC0854,NIWOT-UB-C-T1-S1-FoliarSp2-Sept2023,2023-09-26,NA,
MCSC0855,NIWOT-UB-C-T3-S9-FoliarSp1-Sept2023,2023-09-26,NA,
MCSC0856,NIWOT-UB-C-T2-S5-FoliarSp2-Sept2023,2023-09-26,NA,
MCSC0857,NIWOT-UB-C-T1-S2-FoliarSp1-Sept2023,2023-09-26,NA,
MCSC0858,NIWOT-UB-C-T3-S8-FoliarSp1-Sept2023,2023-09-26,NA,
